;汉字	;希顶	备注	汉希提示	希汉提示
地	dDE	名词 dì	~方 ~区 ~位 基~ 土~ ~理 当~ 各~ ~面 ~上 ~下 ~球 山~ ~址 ~图 ~势 ~质 所在~ 根据~ 盆~ ~震 ~带 ~点 内~ 本~ ~形 ~主 ~产 殖民~ ~貌 目的~ ~域 耕~ 驻~ 占~ 奥~利 ~中海 ~租 外~ 湿~ ~铁 陆~ ~层 ~步 产~ 落~ ~表 ~级市 质~ 领~ 场~ ~毯 ~壳 禁~ 圣~ 草~ 工~ 余~ 境~ ~板 胜~ ~狱 洼~ 营~ 腹~ 田~ 平~ ~里 特~ 墓~ 原~ 遍~ ~雷 高~ ~道 ~产 ~段 实~ ~名 满~ 发祥~ 租~ 空~ 雪~ ~盘 失~ 扫~ 之~ 克罗~亚 倒~ ~空导弹 ~基 心~ 发生~ ~坛 极~ 水源~ ~底 荒~ 下~ 沼泽~ 集散~ 惊天动~ ~宫 林~ 死~ 封~ ~热 异~ 种~ 一败涂~ 属~ 绿~ 居住~ 甘~ 谢天谢~ 接~ 重~ ~铺 ~幔 因~制宜 铺天盖~ 租借~ 圈~ ~平线 沙~ 天翻~覆 坐~ 故~ ~台 某~ 危~马拉 ~安门 天经~义 战~ 割~ ~缘 ~峡 旱~ 死心塌~ 集中~ 园~ 何~ ~磁 ~皮 ~窖 坡~ 坟~ ~洞 ~块 欢天喜~ 野~ 不败之~ 一席之~ ~头 麦~那 随时随~ 菜~ 绝~ ~衣 翻天覆~ 暗~ ~府 牧~ 生~ 近~ 出人头~ 五体投~ 无~自容 葬身之~ 栖息~ 立足之~ ~穴 纪念~ ~价 ~堡 开天辟~ ~利 天罗~网 随~ ~脉 用武之~ 盐碱~ 保留~ 卖~ 保护~ ~对空 ~牢 天旋~转 ~支 ~瓜 肝脑涂~ 征~ 水~ 聚居~ 源~ ~痞 拔~而起 ~心 滩~ 顶天立~ 席~而坐 中~ 空对~ 军~ ~核 旧~ ~摊 ~界 庄稼~ 自留~ 蜀~ 设身处~ ~税 宝~ 昏天黑~ ~黄 ~沟 ~学 天寒~冻 火~岛 花天酒~ 震天动~ 天昏~暗 麦~ 印~语 ~广人稀 托管~ ~级 天南~北 ~膜 ~物 天诛~灭 天长~久 犁~ ~窨 抢~ 露~ 白兰~ 天崩~裂 就~取材 拖~ 住~ ~勤 ~对~ 坠~ ~缝 ~契 ~市 ~标 ~轴 锚~ 不毛之~ ~动山摇 处女~ 山崩~裂 ~权 住所~ 供应~ 易~ 熟~ 硬~ 防~ 席~ 玉米~ 开阔~ 桑~诺 省~ 责任~ ~动仪 ~大物博 一箭之~ ~~ 沙漠~ 流放~ ~极 掷~有声 谈天说~ 通天彻~ 聚集~ 就~ 局~ 攻城掠~ 水泥~ 疗养~ 置~ ~保 天造~设 ~砖 集结~ 出发~ 印~ 外景~ ~役 天塌~陷 注册~ 上天入~ 天知~知 山摇~动 繁殖~ ~籍 ~鼠 甲~ 天摇~动 震天撼~ ~灵 感天动~ 拍摄~ 举办~ ~久天长 小心~滑 乙~	
地	dde	助词 de		
场	DuTd			
扬	yT8			
耳	re			
芋	yyA			
共	gi3			
芒	mTy			
亚	yua			
芝	zEy			
朽	wiac			
朴	piAc	樸 pǔ		
朴	cpiA	姓氏、树皮 piáo pò	~树	
机	cjE			
权	qu2c			
过	goz			
臣	ci8H			
吏	lYp			
吏	lYH	旧拼写	-	-
再	HzY			
再	zzY	旧拼写	-	-
协	pxY			
西	5a			
压	yuad			
厌	yuaH			
戌	wiAp			
在	zY			
百	biY			
有	yu6H			
存	4u8			
而	nuY			
页	fLH			
匠	mj3			
匠	mju3	旧拼写	-	-
匠	cju3	旧拼写	-	-
夸	ca			
夺	fda			
灰	hV			
达	dia			
列	lie			
死	liYt			
成	D8			
夹	qa			
夷	yEH			
轨	giVq			
轨	giVh	旧拼写	-	-
邪	1ya			
尧	yuL			
划	lgV	用桨一类的东西拨水使船前进；合算；用于“划拳”	~船 ~算 ~过 ~桨 皮~艇 ~拳 ~艇 ~得来 ~不来	
划	fal	“劃”的简化字 用尖利物把东西割开；划分；计划；拟声词		
迈	zw2			
毕	bEH			
至	HY			
此	HV			
贞	ci8			
师	nuV			
尘	dvio			
尖	Hj2			
尖	j2H	旧拼写	-	-
劣	let			
光	BT			
当	dT			
早	ruL			
吁	oyA			
吐	otA			
吓	oxa			
虫	ci3			
曲	NAh	“麴”的简化字 酿酒或制酱时引起发醇的东西	酒~	
曲	FE			
团	mzu2			
吕	vioH			
同	t3			
吊	FiL			
吃	Heo	同“喫”		
吃	ohu6	仅用于“口吃”	口~	
因	y8			
吸	oNa			
吗	oma			
吆	o4uL			
屿	w7a			
屹	w5E	yì		
屹	gew	gē 用于“屹剌”（拟声词）	~剌	
岁	fieH			
帆	f2p			
回	fiV			
岂	kYH			
岂	qEw	旧拼写	-	-
则	De			
刚	lgT			
网	wiTa			
肉	VrV			
年	Hn2			
年	HjuT	旧拼写	-	-
年	juTH	旧拼写	-	-
朱	zA			
先	x2			
丢	di6H			
廷	ti8			
舌	fL			
竹	ruoH			
迁	zq2			
乔	quL			
迄	zhu6			
伟	VwiV			
传	Vzu2			
乒	opi8			
乓	opT			
休	x6			
伍	VwiA			
伍	VwiY	旧拼写	-	-
伏	46			
优	Vn6			
优	Vy6	旧拼写	-	-
臼	ju6H			
伐	ha			
延	yY			
仲	Vz3			
件	r8g			
任	Vru8			
伤	suTV			
价	Vgia			
伦	Vv8			
份	Vf8			
华	fa			
仰	4TV			
仿	VfT			
伙	Vho			
伪	VwE			
自	t1			
伊	5LV			
血	nV			
向	piT			
似	VNiT			
后	h6			
行	x8H	xíng		
行	5eH	háng	~业 银~ ~情 同~ ~列 两~ 洋~ 农~ 太~ 支~ ~当 排~ ~家 各~各业 ~会 道~ 内~ 商~ 外~ ~伍 字里~间 本~ 懂~ ~话 ~距 ~~出状元 一目十~	
舟	zu6			
全	qu2			
会	hiV	huì		
会	cY	kuài	~计 财~	
杀	sa			
合	gieH	gě 量粮食的器具；容量单位	-	
合	hie	hé		
兆	zuL			
企	VHu6			
众	z3V			
爷	yeV			
伞	asua			
伞	VmiA	旧拼写	-	-
创	lDuT			
肌	ejE			
肋	lee			
朵	dio			
杂	4ua			
危	wiVH			
旬	xu8			
旨	HuL			
旭	bju6			
旭	Foh	旧拼写	-	-
负	fA			
匈	lx3			
名	mi8H			
各	gie			
多	do			
争	H8			
色	sue			
壮	zuTd			
冲	mzu3	“衝”的简化字		
冲	Du3E	同“沖” 山间的平地；用于地名	~田	
冲	Du3m	旧拼写	-	-
冲	EDu3E	旧拼写	-	-
妆	zuTA			
冰	hu3			
冰	7iVE	旧拼写	-	-
庄	zuT			
庆	Fvio			
庆	5da	旧拼写	-	-
亦	5iL			
刘	v6			
齐	NL			
交	jL			
衣	yE			
次	HuV			
产	DYH			
决	jueE			
亥	hY			
充	D3H			
妄	AwiT			
闭	mDY			
问	wi8o			
闯	mma			
羊	yuT			
并	bi3			
关	gE			
米	mE			
灯	xdi8			
州	z6			
汗	hi2E			
污	wiaE			
江	juTE			
汛	78E			
池	EDE			
汝	EnA			
汤	suTE	shāng	浩浩~~ 沸沸~~	
汤	tiTH	tāng		
忙	mTY			
兴	5i3H			
宇	fyA			
守	su6			
宅	zuY			
字	fHL			
安	Ni2			
讲	iN8			
讳	iwiV			
军	58			
讶	iya			
许	Fia			
讹	4iei			
论	iv8			
讼	s3i			
农	n3			
讽	if3			
设	i5T			
访	ifT			
诀	juei			
寻	5i8			
那	na			
迅	78z			
尽	N3			
导	dLf			
异	NiVH			
弛	lDE			
孙	su8			
阵	1Due			
阳	yT1			
收	7i6r			
阶	xuV1			
阶	1je	旧拼写	-	-
阴	4i8			
防	1fT			
奸	k2A			
如	rA			
妇	AsL			
妃	ApiV			
妃	AgiY	旧拼写	-	-
好	AHL			
她	tiaA			
妈	Ama			
戏	kE			
羽	FaH			
观	B2T			
观	B2r	旧拼写	-	-
欢	fi6r			
买	mY			
红	h3a	hóng		
红	ag3	gōng 用于“女红”	女~	
驮	gda			
纤	aq2	qiān “縴”的简化字 纤绳	~绳 拉~ ~夫	
纤	xuYa	xiān “纖”的简化字		
驯	xu8g			
约	kLH			
级	aNa			
纪	aNia			
驰	gDE			
纫	ar8			
巡	xu8z			
寿	D6			
弄	l3H			
麦	miYH			
麦	4uY	旧拼写	-	-
玖	3j6			
玛	3ma			
形	x8a			
进	zVz			
进	zN8	旧拼写	-	-
戒	N2			
吞	oti2			
远	ztiV			
远	zyuo	旧拼写	-	-
违	zwiV			
韧	pr8			
运	yu8z			
运	zyu8	旧拼写	-	-
扶	84ia			
抚	8w6			
坛	ted			
技	Nia8			
坏	fYd			
抠	k68			
扰	8n6			
扼	84e			
拒	85V			
找	8gV			
批	pE8			
址	dHu6			
扯	8Hu6			
走	Fi6H			
抄	DuL8			
贡	xg3			
汞	6g3			
汞	Eg3	旧拼写	-	-
坝	bVd	“垻”的简化字（坝子） 沙滩，沙洲；平地，平原	平~ 留~	
坝	biad	“壩”的简化字（大坝）		
攻	rg3			
赤	hEH			
折	zue	断；亏损；翻转，倾倒	~了 ~跟头 ~腾 ~本 ~称 ~耗	
折	5ia8	“摺”的简化字 折叠；转折		
抓	8zua			
扳	b28			
抡	8v8			
扮	p28			
抢	qT8			
孝	xuL			
坎	ki2d			
均	58d			
抑	7iY8			
抛	8lju6			
抛	8hL	旧拼写	-	-
投	t68			
坟	dwi8			
坑	dkT			
抗	8kT			
坊	dfT			
抖	8d6			
护	8fio			
壳	gAn			
壳	fjE	旧拼写	-	-
志	Hu6H			
块	cYd			
扭	n68			
声	Fi3T			
把	8ba			
报	4iV8			
拟	8NE			
拟	8NiT	旧拼写	-	-
却	FiV			
抒	sA8			
抒	8sA	旧拼写	-	-
劫	lFiV			
芙	y4ia			
芜	yw6			
苇	ywiV			
芽	yya			
花	yfia			
芹	yj3			
芥	yje			
芬	yf8			
苍	yDuT			
芳	yfT			
严	yuY			
芦	yva			
芦	vay	旧拼写	-	-
芯	y53			
劳	lLH			
克	ke			
芭	yba			
苏	yHco			
苏	yco	旧拼写	-	-
杆	cgi2			
杠	gTc			
杜	diAc			
材	cDY			
村	Du8c			
杖	cFiT			
杏	48H			
杉	ciec			
巫	wia			
极	c4uE			
极	cNa	旧拼写	-	-
李	HlE			
李	lEH	旧拼写	-	-
杨	yTc			
求	q6			
甫	hiAH			
匣	4am			
更	gi8			
束	s3			
吾	wi6			
豆	di6			
两	viT			
酉	piV			
丽	viY			
医	NiV			
辰	Bi8			
励	lvY			
否	pia			
还	fi2z			
尬	tje			
尬	hje	旧拼写	-	-
歼	xuYt			
歼	tk1	旧拼写	-	-
歼	tq2	旧拼写	-	-
来	lY			
连	li2			
轩	k2q			
步	kia			
卤	lAH			
坚	ko			
肖	exL			
肖	xL	旧拼写	-	-
旱	h2			
盯	Tdi8			
呈	B8			
时	HoH			
吴	wi3H			
助	BiL			
县	xVH			
里	lE			
呆	kYv			
呆	omiA	旧拼写	-	-
吱	oHua			
吠	oquV			
呕	46o			
园	mtiV			
园	myuo	旧拼写	-	-
旷	bciT			
围	mwiV			
呀	oya			
吨	Fi8o			
足	B6			
邮	1yu6			
男	l2			
男	4l2	旧拼写	-	-
困	c8H			
吵	DuLo			
串	Du2			
员	7i2			
呐	nao			
听	N6o	yǐn 笑貌	-	
听	ti8o	tīng		
吟	7i8o			
吩	of8			
呛	qTo			
吻	ow8			
吹	4uVo			
呜	owA			
吭	hTo			
吧	oba			
邑	5iLH			
吼	k3o			
囤	m78	tún		
囤	Fi8m	dùn 盛粮食的器具	-	
别	lBiY			
吮	ov3			
岖	wFi6			
岗	wgT			
帐	pzT			
财	xDY			
针	NHuo			
钉	Ndi8			
牡	gtA			
牡	gtiA	旧拼写	-	-
告	giL			
我	wo			
乱	l1l			
利	vV			
秃	ti6			
秀	xu6			
私	t1h			
每	mV			
兵	bi8			
估	VgA			
体	Vb8	bèn 同“笨”，粗劣	-	
体	viVj	tǐ “體”的简化字，身体、肉体		
何	hieV			
佐	Vro			
佑	V7i6			
但	Vd2			
伸	Vs8			
佃	Vtie	tián 耕作	~作 ~具 ~器	
佃	VFe	diàn		
作	zoV			
伯	boV	文读bó		
伯	VbY	白读bǎi	-	
伯	bYV	白读bǎi，旧拼写	-	-
伶	Vli8			
佣	Vy3			
低	VdiT			
你	Vnu8			
住	Vka			
位	kEV			
伴	VbiT			
身	rue			
皂	viLH			
伺	VHo			
佛	V4iL			
囱	Du3			
近	zj3			
彻	Dez			
彻	DeV	旧拼写	-	-
役	z5T			
役	V5T	旧拼写	-	-
返	zf2			
余	7io			
希	xE			
坐	zuo			
谷	gAh	“穀”的简化字 庄稼 粮食	~物 稻~ ~子 五~ ~类 ~仓 ~梁 ~粒 ~种 苞~	
谷	yAH	山谷		
谷	gAV	山谷，旧拼写	-	-
妥	tio			
含	hi2			
邻	v81			
邻	1li8	旧拼写	-	-
岔	Daw			
肝	egi2			
肛	gTe			
肚	diAe			
肘	zu6e			
肠	DuTe			
龟	BiYH			
甸	lFe			
免	mi2			
狂	cTH			
犹	vy6			
狈	bVv			
角	Ne			
删	s2l			
条	tiL			
彤	ate			
卵	vi6z			
灸	xj6			
岛	FL			
刨	pLl	páo		
刨	lbL	bào 推刮木料等，使其平滑的一种工具	~子 ~床	
迎	7iYz			
饭	Lf2			
饮	Lqo			
系	lia			
言	7iY			
冻	Ed3			
状	zuTv			
亩	4mV			
亩	m16	旧拼写	-	-
况	Exu3			
床	zuTc			
床	5miA	旧拼写	-	-
库	kA			
庇	5bE			
疗	liLt			
疗	tliL	旧拼写	-	-
吝	lio			
应	H3			
这	zHV			
这	zwi8	旧拼写	-	-
冷	Eli8			
冷	Eli8E	旧拼写	-	-
庐	5va			
庐	va5	旧拼写	-	-
序	sA5			
辛	5i3			
弃	ciYf			
冶	NiTE			
忘	FwiT			
闰	ruV			
闲	x2H			
间	j2			
闷	Fm8			
判	piTl			
兑	suV			
灶	xtA			
灿	gEx			
灼	kox			
弟	dV	dì		
弟	tE	tì 同“悌”	-	
汪	EwT			
沐	EmiA			
沛	pVE			
汰	EtiY			
沥	Evi6			
沙	saE			
汽	EN6			
沃	wioE			
沦	Ev8			
汹	Ex3			
泛	Ehia			
沧	EDuT			
没	mioE			
沟	Eg6			
沪	Efio			
