;汉字	;希顶	备注	汉希提示	希汉提示
逮	diYz			
敢	gi2H			
尉	wLH			
屠	zAp			
弹	d2l			
隋	sVH			
堕	Fio1			
随	sVz			
蛋	d2k			
蛋	Hd2k	旧拼写	-	-
隅	17ia			
隆	li3			
隐	1nuo			
婚	Afi8			
婶	s8A			
婉	Awi2			
颇	pior			
颈	j8r			
绩	NEa			
绪	Bioa			
续	dAa			
骑	NiYg	jì	-	
骑	gNi6	qí		
绰	huoa			
绳	ci3a			
绳	ci8a	旧拼写	-	-
维	wVa			
绵	ame			
绷	b3a			
绸	D6a			
综	zu3a			
绽	di8a			
绿	alA			
缀	aDuo			
巢	DLH			
琴	qu33			
琳	li83			
琢	zuo3			
琼	3Hx3			
琼	q33	旧拼写	-	-
斑	kio			
替	tia			
揍	Du68			
款	c2H			
堪	dki2			
塔	7iad			
搭	da8			
堰	yod			
揩	kiY8			
越	yuoD			
趁	z8D			
趋	BiLD			
超	BLD			
揽	8v2			
堤	dEd			
提	dE8	dī	~防	
提	ti68	tí		
博	biop			
揭	jo8			
喜	5o			
彭	p8			
揣	DuY8			
插	rua8			
揪	8qu6			
搜	8s6			
煮	zAx			
援	yu28			
搀	Du28			
裁	zYu			
搁	8mgie			
搁	8mge	旧拼写	-	-
搓	8Do			
搂	8l6			
搅	8xueT			
搅	8jV	旧拼写	-	-
壹	fNV			
握	8wio			
搔	nuL8			
揉	8r6			
斯	nuT			
期	eqE			
欺	rqE			
联	TgE			
葫	yfiA			
散	sua			
惹	roF			
惹	ro5	旧拼写	-	-
葬	yliYt			
募	mAl			
葛	g1			
董	di3y			
葡	ypAl			
敬	ki8			
葱	yDu3			
蒋	yjT			
蒂	ydE			
落	yloE			
韩	hYp			
朝	DuL			
辜	hgA			
葵	yciV			
棒	cfi3			
棱	vi8c			
棋	cqE			
椰	yec			
植	cH6			
森	li8c			
森	3miA	旧拼写	-	-
焚	xpi6			
焚	li8x	旧拼写	-	-
椅	5iTc			
椒	ccL			
棵	kiec			
棍	Bi8c			
椎	zVc			
椎	zVcH	旧拼写	-	-
棉	cme			
棚	cp3			
棕	zu3c			
棺	cBi2			
榔	clT			
椭	Fioc			
椭	sVc			
惠	fe			
惑	Fhio			
逼	4iTz			
粟	cio			
棘	Hue2H			
酣	h14			
酥	4Hco			
酥	4co	旧拼写	-	-
厨	DA5			
厨	DAH	旧拼写	-	-
厦	5xua			
硬	sgi8			
硝	sxL			
确	ques			
硫	li6s			
雁	yV			
殖	tH6			
裂	ulie			
雄	nh3			
颊	rqa			
雳	6vi6			
暂	bH2			
雅	nyaH			
雅	4ya	旧拼写	-	-
翘	nyuL			
辈	bi3q			
悲	bi3F			
紫	HuLu			
凿	4p6			
辉	hVb			
敞	BTr			
棠	ctT			
赏	sTx			
掌	sTj			
掌	sT8	旧拼写	-	-
晴	bq8			
睐	TlY			
暑	ciob			
最	zV			
晰	b5ioH			
量	bliT			
鼎	d8H			
喷	p3o			
喳	zuao			
晶	5i2H			
喇	ola			
喇	nuao	旧拼写	-	-
遇	z7ia			
喊	of6			
遏	4iYz			
晾	liTb			
景	Ni8			
畴	4D6			
践	juYD			
跋	Dbia			
跌	di2D			
跑	pLD			
跛	Dbio			
遗	zBiV			
蛙	wak			
蛛	kzA			
蜓	kti8			
蜒	kyY			
蛤	giek	gé		
蛤	hak	há 用于“蛤蟆”	~蟆	
喝	ohe			
鹃	ju2n			
喂	owL			
喘	DuYo			
喉	ohi6			
喻	o7o			
啼	7Eo			
喧	oxu2			
嵌	wqo			
幅	4iTp			
帽	mLp			
赋	w6x			
赌	F6x			
赎	dAx			
赐	x5iT			
赔	piVx			
黑	hE			
铸	ND6			
铺	pAN			
链	Nli2			
销	NxL			
锁	suoN			
锄	NBiL			
锅	goN			
锈	Nxu6			
锋	fi3N			
锌	N5i3			
锐	NsuV			
甥	Vsu3			
掰	p2j			
掰	p28H	旧拼写	-	-
短	7di6			
智	bHa			
氮	Fie6			
毯	t2j			
氯	6lA			
鹅	4ion			
剩	lc3			
稍	suLh			
程	hB8			
稀	hxE			
税	hsuV			
筐	2cT			
等	FY2			
筑	2ki3			
策	Hue2			
筛	2nuV			
筛	2sY	旧拼写	-	-
筒	2t3			
筏	2ha			
答	da2			
筋	lNe			
筝	2H8			
傲	4iLV			
傲	4iL1	旧拼写	-	-
傅	4EV			
牌	pY			
堡	bLd			
集	rEc			
集	zVc	旧拼写	-	-
焦	juL			
傍	bTV			
储	BioV			
皓	hiLb			
皖	wTb			
粤	6yA			
粤	yuej	旧拼写	-	-
奥	4L			
街	wam			
惩	VFz8			
惩	Vz8F	旧拼写	-	-
御	zxV			
御	VyV	旧拼写	-	-
循	F8z			
循	F8V	旧拼写	-	-
艇	qti8			
舒	sAL			
舒	sA4	旧拼写	-	-
逾	z7o			
逾	z7io	旧拼写	-	-
番	p2	pān 只用于“番禺”	~禺	
番	fi2	fān		
释	zeh			
禽	qu3			
腊	liae			
脾	pTe			
腋	eye			
腔	ek3			
腕	ewi2			
鲁	voH			
猩	vx8			
猬	vwie			
猾	fiav			
猴	vhi6			
惫	Fbe			
惫	5be	旧拼写	-	-
然	ru2			
馈	ciVL			
馋	Du2L			
装	zuTu			
蛮	v2k			
就	j6H			
敦	F8			
斌	w6r			
斌	rwi8	旧拼写	-	-
痘	tdi6			
痢	tvV			
痪	tfY			
痛	t3t			
童	ti3			
竣	ju8f			
阔	kiom			
善	ci2			
翔	xTn			
羡	Egqo			
羡	yuTD	旧拼写	-	-
普	pA			
粪	fiY			
粪	f8h	旧拼写	-	-
尊	zu8			
奠	fFi2			
道	dLz			
遂	sV			
曾	D8H	céng		
曾	H3H	zēng	~祖 ~孙	
焰	yVx			
港	EgiT			
滞	EdiY			
湖	EfiA			
湘	ExT			
渣	zuaE			
渤	Elbo			
渺	miLE			
湿	xYE			
温	w8E			
渴	Ehe			
溃	ciVE			
溅	EjuYx			
溅	B6E	旧拼写	-	-
滑	fiaE			
湃	bYE			
渝	E7o			
湾	wi2E			
渡	EdA			
游	76E			
滋	EHuY			
渲	Exu2			
溉	EgY			
愤	f8Y			
慌	YhiT			
惰	FioY			
愕	Y4o			
愣	l8Y			
惶	YfiT			
愧	cVY			
愉	Y7o			
慨	YgY			
割	lhiY			
寒	sYE			
富	4iTf			
寓	f7ia			
窜	fDu2			
窝	wof			
窖	fgiL			
窗	fDu3			
窘	fju8			
遍	zbi2			
雇	giaH			
裕	yAu			
裤	ukA			
裙	qu8u			
禅	D2u			
禅	D2t	旧拼写	-	-
禄	ulA			
禄	tlA	旧拼写	-	-
谢	xoi			
谣	yLi			
谤	bTi			
谦	quVi			
犀	56			
属	pkiA			
属	kTp	旧拼写	-	-
屡	viap			
强	qT			
粥	7oH			
粥	lmEl	旧拼写	-	-
粥	lmE	旧拼写	-	-
疏	cLH			
疏	cL4	旧拼写	-	-
隔	Be1			
隙	liL1			
隘	15iY			
媒	Ami6			
絮	urA			
絮	arA	旧拼写	-	-
嫂	As6			
媚	AmiV			
媚	AmV	旧拼写	-	-
婿	xAA			
登	d8			
缅	mi2a			
缆	av2			
缉	Nioa			
缎	aF2			
缓	yu2a			
缔	adE			
缕	viaa			
骗	gpi2			
编	abi2			
骚	nuLg			
缘	atV			
瑟	3b6			
瑟	3b63	旧拼写	-	-
鹉	w6n			
瑞	Fi23			
瑰	BiV3			
瑙	nL3			
魂	tyu8			
肆	DciY			
肆	sciY	旧拼写	-	-
摄	se8			
摸	8mo			
填	7ied			
搏	bio8			
塌	tad			
鼓	gaH			
摆	biY8			
携	85ie			
搬	8b2			
摇	yL8			
搞	8gL			
塘	dtiT			
摊	8t2			
聘	Tp1			
斟	7ki2			
斟	fki2	旧拼写	-	-
蒜	ysu2			
勤	Ni3l			
靴	4iex			
靶	xba			
鹊	5i6n			
蓝	vi2y			
墓	mAd			
幕	mAp			
蓬	pi3y			
蓄	yBo			
蒲	ypAE			
蓉	yr3			
蒙	m3			
蒸	yBi3			
献	52			
椿	cDu8			
禁	ju3			
楚	Bi6			
楷	kiYc			
榄	cv2			
想	FxT			
槐	BiVc			
榆	c7o			
楼	cl6			
概	cgY			
赖	liY			
酪	lo4			
酬	4z6			
感	Ff6			
碍	Fes			
碘	sFi2			
碑	sbV			
碎	szuV			
碰	4u3s			
碗	swi2			
碌	slA			
尴	jVt			
尴	jVh	旧拼写	-	-
雷	lV			
零	6li8			
雾	6wi3			
雹	6bL			
辐	4iTq			
辑	Nioq			
输	c3q			
督	TcL			
频	pi3			
龄	jli8			
鉴	jVN			
睛	N8T			
睹	F6T			
睦	vaT			
睦	miAT	旧拼写	-	-
瞄	TmiL			
睫	juoT			
睡	TDV			
睬	TDuY			
嗜	NiLo			
鄙	1b1			
嗦	oso			
嗦	oflia	旧拼写	-	-
愚	F7ia			
暖	yu2b			
盟	4mi3			
歇	52r			
暗	Ni2b			
暇	xab			
照	xbzL			
畸	NiY4			
跨	Dca			
跷	DyuL			
跳	tiLD			
跺	DdioH			
跪	BVD			
路	vo			
跤	DjL			
跟	Dg8			
遣	que			
蜈	wi3k			
蜗	wok			
蛾	4iok			
蜂	fi3k			
蜕	ksuV			
嗅	xu6o			
嗡	ow3			
嗓	osT			
署	cio4			
置	4H6			
罪	4fV			
罩	4zo			
蜀	kiA			
幌	fiTp			
错	DuoN			
锚	NmiL			
锡	N5iT			
锣	Nlo			
锤	NDV			
锥	zVN			
锦	7i8p			
锦	Nme	旧拼写	-	-
键	NjuY			
锯	NjA			
锰	m3N			
矮	7wV			
辞	HuVL			
稚	N1h			
稚	rEh	旧拼写	-	-
稠	D6h			
颓	rti6			
愁	Fqu6			
愁	FDu6	旧拼写	-	-
筹	2D6			
签	quY2			
简	2j2			
筷	cY2			
毁	huV			
舅	ju6V			
鼠	lieH			
催	VDuV			
傻	soV			
傻	Vla	旧拼写	-	-
傻	raV	旧拼写	-	-
像	VxuT			
像	axuT	旧拼写	-	-
躲	Ddio			
魁	cV7			
魁	cVf	旧拼写	-	-
衙	mwi6			
微	wiLH			
愈	F7o			
遥	yLz			
腻	e42			
腰	eyL			
腥	ex8			
腮	suYe			
腹	ekiY			
腺	equo			
鹏	np3			
腾	t8g			
腿	e7V			
鲍	BbL			
猿	vtiV			
颖	hqu8			
颖	y8h	旧拼写	-	-
颖	Hy8h	旧拼写	-	-
触	7kiA			
触	7ci3	旧拼写	-	-
解	xe			
煞	xz6r			
雏	BiLn			
馍	Lmo			
馏	Lli6			
酱	4jT			
禀	l8			
痹	bi6t			
廓	gio5			
痴	tHa			
痰	t2t			
廉	vi2			
靖	N8f			
新	7Fi8			
新	77i8	旧拼写	-	-
韵	53i			
韵	534	旧拼写	-	-
意	5L			
誊	t8i			
粮	hliT			
数	su6H			
煎	xjuV			
塑	dsuo			
慈	HVF			
煤	xmi6			
煌	xfiT			
满	m2E			
漠	Emo			
滇	Edi2			
源	Eyu2			
滤	EliA			
滥	vi2E			
滔	EtL			
溪	E5i6			
溜	Eli6			
漓	EviV			
滚	B8E			
溢	E5iY			
溯	Esuo			
滨	Efbi8			
溶	Er3			
溺	Eruo			
粱	vTh			
滩	Et2			
慎	YHu8			
誉	5i3i			
塞	sYd			
寞	fmo			
窥	kVf			
窟	fjuo			
寝	q8f			
谨	Ni3i			
褂	uBia			
裸	liou			
福	4iTu			
福	4iTt	旧拼写	-	-
谬	mi6i			
群	qu8g			
殿	Fie			
辟	bi6	bì	复~ ~邪	
辟	pa	pì		
障	zT1			
媳	xEA			
嫉	N1A			
嫌	AjY			
嫁	Ajua			
叠	FiTH			
缚	4Ea			
缝	fi3a			
缠	r2a			
缤	abi8			
剿	DLl			
静	Ni8h			
静	Ni8q	旧拼写	-	-
碧	bo3			
璃	3viV			
赘	4iLxH			
熬	4iLx			
墙	quTd			
墟	dxA			
嘉	7ja			
嘉	4ja	旧拼写	-	-
摧	8DuV			
赫	hE2			
截	quel			
誓	izue			
境	dj8			
摘	ruY8			
摔	8suY			
撇	pie8			
聚	r6v			
慕	mAF			
暮	mAb			
摹	jmo			
摹	8moH	旧拼写	-	-
蔓	ym2			
蔑	miey			
蔡	huY			
蔗	zuey			
蔽	biTy			
蔼	4iYy			
熙	NTx			
蔚	wLy			
兢	2ke			
模	cmo	mó		
模	mAc	mú		
槛	jVc			
榴	cli6			
榜	bTc			
榨	zuYc			
榕	cr3			
歌	rge			
遭	zLz			
酵	4xuL			
酷	kiA4			
酿	nT4			
酸	so4			
碟	dies			
碱	jYs			
碳	7Ys			
磁	HVs			
愿	Fyu2			
需	Fo			
辖	xuaq			
辗	nu2q	niǎn		
辗	Hu2q	zhǎn	~转	
雌	nHV			
裳	sTu	shang	衣~	
裳	BTu	cháng		
颗	kier			
瞅	Tqu6			
墅	druY			
嗽	c6o			
踊	Dyu3			
蜻	kq8			
蜡	liak			
蝇	ci3k			
蜘	kHa			
蝉	D2k			
嘛	omia			
嘀	FEo			
赚	xjY			
锹	Nqu6			
锻	NF2			
镀	NdA			
舞	Dw6			
舞	4w6	旧拼写	-	-
舔	Lti2			
稳	hnuo			
熏	5i8H			
箕	Na2			
算	su2			
箩	2lo			
管	2Bi2			
箫	xuL2			
舆	5i3q			
僚	liLV			
僧	D8V			
鼻	bi6T			
鼻	bi64	旧拼写	-	-
魄	pot			
魅	mVt			
貌	huL			
膜	emo			
膊	bioe			
膀	bTe	bǎng		
膀	epT	páng 用于“膀胱”	~胱	
鲜	xuo			
疑	NE			
孵	n4iT			
馒	Lm2			
裹	ugio			
敲	rgL			
敲	DgL	旧拼写	-	-
豪	hL			
膏	egL			
遮	zuez			
腐	j4io			
腐	e4ioH	旧拼写	-	-
瘩	dat			
瘟	w8t			
瘦	ts6			
辣	hla			
辣	nuah	旧拼写	-	-
彰	zTa			
竭	jof			
端	Fi2f			
旗	fqE			
精	N8h			
粹	DuVh			
歉	quVr			
歉	yqo	旧拼写	-	-
弊	biTt			
熄	xEx			
熔	xr3			
煽	xcie			
潇	xuLE			
漆	qVE			
漱	c6E			
漂	EpiL			
漫	Em2			
滴	FEE			
漾	yuTE			
演	ti3E			
漏	l6E			
慢	Ym2			
慷	YkiT			
寨	qYc			
赛	sYx			
寡	giaf			
寡	rq3	旧拼写	-	-
寡	4q3	旧拼写	-	-
察	Da			
蜜	mak			
寥	vLf			
谭	i72			
肇	pciY			
褐	uhe			
褪	u7V			
谱	ipA			
隧	1sV			
嫩	AnuYH			
嫩	c6Y	旧拼写	-	-
翠	DuVn			
熊	n8x			
凳	nd8			
骡	gliV			
缩	akiV			
慧	fiVF			
撵	nuV8			
撕	8nuT			
撒	8sua			
撩	liL8			
趣	DFT			
趟	tTD			
撑	8sTj			
撑	8ruT	旧拼写	-	-
撮	8zV			
撬	8HqL			
撬	8qL	旧拼写	-	-
播	8p2			
擒	8qu3			
墩	dF8			
撞	7iT8			
撤	De8			
增	H3d			
撰	zu28			
聪	TDu3			
鞋	xBV			
鞍	xNi2			
蕉	yjuL			
蕊	rVy			
蕊	y353	旧拼写	-	-
蔬	cLy			
蕴	yvi3a			
横	hiTc			
槽	cDL			
樱	cHu3			
橡	cxuT			
樟	zTc			
橄	gi2c			
敷	4Er			
豌	hwi2			
飘	bpiL			
醋	Duo4			
醇	B34			
醉	4zuV			
磕	cos			
磊	sliV			
磅	spT	理论音bTs用于bàng		
磅	bTs			
碾	nu2s			
震	H86			
霄	6xL			
霉	6mV			
瞒	m2T			
题	ti6r			
暴	pL			
瞎	xuaT			
嘻	o5o			
嘶	onuT			
嘲	oDuL			
嘹	liLo			
影	aNi8			
踢	tED			
踏	Dta			
踩	DDuY			
踪	zu3D			
蝶	diek			
蝴	kfiA			
蝠	4iTk			
蝎	52k			
蝌	kce			
蝗	kfiT			
蝙	kbi2			
嘿	ohE			
嘱	opkiA			
嘱	okTp	旧拼写	-	-
幢	7iTp			
墨	m6d			
镇	NHu8			
镐	NgL	gǎo		
镐	hLN	hào 地名	~京	
镑	bTN			
靠	tgiL			
靠	hgiL	旧拼写	-	-
稽	HjE			
稽	hjEb	旧拼写	-	-
稻	htL			
稻	htY	旧拼写	-	-
黎	vL			
稿	hgL			
稼	hjua			
箱	2xT			
篓	2l6			
箭	2juV			
篇	2pi2			
僵	jTV			
躺	tTDH			
僻	Vpa			
德	FeF			
艘	qs6			
膝	qVe			
膛	etT			
鲤	BlE			
鲫	BNiY			
熟	xciL			
摩	moj			
摩	mo8	旧拼写	-	-
褒	bLu			
瘪	biet			
瘤	tli6			
瘫	tt2			
凛	El8			
颜	r7iV			
毅	v5T			
毅	75T	旧拼写	-	-
糊	hfiA			
遵	zzu8			
憋	bieF			
憋	bie5	旧拼写	-	-
潜	BYE			
潜	Etia	旧拼写	-	-
澎	Ep8			
潮	EDuL			
潭	E72			
鲨	saB			
澳	E4L			
潘	Ep2			
澈	DeE			
澜	l2E			
澄	Ed8			
懂	di3Y			
憔	quLY			
懊	Y4L			
憎	H3Y			
额	rcef			
翩	npi2			
褥	urua			
谴	ique			
鹤	quen			
憨	fiYF			
慰	wLF			
劈	lpa			
履	viep			
豫	v7L			
缭	liLa			
撼	8f6			
擂	8lV			
操	kiL8			
擅	ci28			
燕	yuYH			
蕾	ylV			
薯	cioy			
薛	nue			
薇	wiLy			
擎	jki8			
擎	8ki8	旧拼写	-	-
薪	y7Fi8			
薪	y77i8	旧拼写	-	-
薄	bioy			
颠	di2			
翰	hYn			
翰	fiY	旧拼写	-	-
噩	4o3			
橱	cDA5			
橱	DAc	旧拼写	-	-
橙	cd8			
橘	tiYc			
整	az8			
整	4rz8	旧拼写	-	-
融	7ci3			
融	qci3	旧拼写	-	-
瓢	2piL			
醒	4x8			
霍	hioH			
霎	6qY			
辙	Deq			
冀	N1			
餐	gEL			
嘴	ruVo			
踱	DdA			
踱	ddA	旧拼写	-	-
蹄	7ED			
蹂	Dr6			
蟆	kmo			
螃	kpT			
器	4oquV			
噪	zuLo			
鹦	nHu3			
赠	H3x			
默	m6v			
黔	q2b			
镜	Nj8			
赞	z2H			
穆	hmA			
篮	vi22			
篡	lsu2			
篷	pi32			
篱	2viV			
儒	rAV			
邀	juLz			
衡	hi8			
膨	ep8			
雕	diLn			
雕	diL4	旧拼写	-	-
鲸	BNi3			
磨	mos			
瘾	tnuo			
瘸	tjja			
瘸	teja	旧拼写	-	-
凝	ENE			
辨	BEl			
辩	BEi			
糙	hBL			
糖	htiT			
糕	gLh			
燃	xru2			
濒	Epi3			
澡	zuLE			
激	juLE			
懒	YliY			
憾	Yf6			
懈	Yxe			
窿	fli3			
壁	dbi6			
避	zbi6			
缰	jTa			
缴	juLa			
戴	FiY			
擦	8Da			
藉	NYy			
藉	Nyy	旧拼写	-	-
鞠	NAx			
鞠	NAq	旧拼写	-	-
藏	ruTy			
藐	yhuL			
檬	cm3			
檐	Biec			
檀	ci2c			
礁	sjuL			
磷	v8s			
霜	suT			
霞	xa6			
瞭	liLT	了（~解）		
瞧	quLT			
瞬	su8T			
瞳	Tti3			
瞩	TpkiA			
瞩	TkTp	旧拼写	-	-
瞪	Td8			
曙	bcio4			
蹋	taD			
蹈	DtL			
螺	kliV			
蟋	5ok			
蟀	ksuY			
嚎	ohL			
赡	Biex			
穗	hfe			
魏	wieH			
簧	hiT2			
簇	2cia			
繁	uhu2			
繁	ahu2	旧拼写	-	-
徽	wiLa			
爵	Nie			
朦	em3			
臊	zuLe			
鳄	B4o			
癌	twhu8			
辫	BEa			
赢	y8x			
糟	zLh			
糠	hkiT			
燥	zuLx			
懦	noY			
豁	whiY			
豁	hhiY	旧拼写	-	-
臀	eFie			
臂	ebi6			
翼	NiVn			
骤	r6g			
藕	4i6y			
鞭	pi2x			
藤	t8y			
覆	4kiY			
瞻	THu2			
蹦	b3D			
嚣	fLo			
镰	Nvi2			
翻	nfi2			
鳍	NiLB			
鹰	nH3			
瀑	EpL			
襟	uju3			
璧	3bi6			
戳	ld1			
孽	Vnue			
警	iki8			
蘑	ymos			
藻	yzuLE			
攀	jpi6			
攀	8pi6	旧拼写	-	-
曝	bpL			
蹲	Dzu8			
蹭	D8D			
蹬	Dd8			
巅	wdi2			
簸	2bio			
簿	bio2			
蟹	kxe			
颤	ci2r			
靡	mEt			
靡	mEh	旧拼写	-	-
癣	txuo			
瓣	BE2			
瓣	BEh	旧拼写	-	-
羹	gLx			
鳖	bieB			
爆	xpL			
疆	djTl			
鬓	jfbi8			
壤	rTd			
馨	Fi3h			
耀	ciLb			
躁	zuLD			
蠕	rAk			
嚼	oNie			
嚷	rTo			
巍	wiew			
籍	NY2			
鳞	v8B			
魔	mot			
糯	noh			
灌	B2E			
譬	ipa			
蠢	kDu8k			
霸	biaH			
露	6vo			
霹	6pa			
躏	v3D			
黯	Ni2bH			
黯	Ni2b	旧拼写	-	-
髓	sVj			
赣	g2H			
囊	nT			
镶	kiTN			
瓤	rT2			
罐	B27			
矗	3H6			
乂	5EH			
乜	HmE			
乜	mEH	旧拼写	-	-
兀	wiYH			
弋	7e			
孑	Hje			
孑	zje	旧拼写	-	-
孓	jeV			
幺	4uL			
亓	1huE			
韦	wiV			
廿	Yn2			
丏	mie			
丏	Hmie	旧拼写	-	-
丏	mieH	旧拼写	-	-
卅	xk2			
卅	asa	旧拼写	-	-
仄	Hze			
仄	5ze	旧拼写	-	-
厄	4e			
仃	Vdi8			
仉	VjE			
仂	leV			
兮	cE			
刈	5El			
爻	5Ex			
卞	bi2H			
闩	su2m			
讣	huTi			
尹	5LH			
夬	jueH			
爿	ppi2			
毋	diA			
邗	hi21			
邛	q31			
艽	yju6			
艿	ynY			
札	zac			
叵	po			
匝	huaH			
丕	pE			
匜	mDE			
劢	lw2			
卟	biAo			
叱	Ni6o			
叻	leo			
仨	Vk2H			
仕	nu6V			
仟	Vq2			
仡	geV			
仫	Vm1			
仞	Vr8			
卮	4u6H			
氐	diT			
犰	vju6			
刍	BiLH			
邝	1ciT			
邙	mT1			
汀	ti8E			
讦	k2i			
讧	h3i			
讪	is2			
讫	ihu6			
尻	giVp			
阡	1q2			
尕	Hga			
尕	ga1	旧拼写	-	-
弁	ciYH			
驭	g4i6			
匡	cT			
耒	liVH			
玎	3di8			
玑	3jE			
邢	x81			
圩	dyA			
圬	wiad			
圭	BV			
扦	8q2			
圪	ged			
圳	dgiV			
圹	dciT			
扪	8m8			
圮	qEd			
圯	d4uV			
芊	yq2			
芍	ysuL			
芄	w2y			
芨	yNa			
芑	qEy			
芎	g3y			
芗	xuTy			
亘	gi8H			
厍	5Due			
夼	fgiV			
戍	wiAd			
尥	tsuL			
尥	hsuL	旧拼写	-	-
乩	lz2			
乩	lz2H	旧拼写	-	-
旯	Hla			
旯	olaj	旧拼写	-	-
曳	5ieH			
岌	wNa			
屺	qEw			
屺	qEwH	旧拼写	-	-
凼	7iVu			
囡	mnA			
钇	N5E			
缶	7ga			
氘	6dL			
氖	6nY			
牝	p6g			
伎	NiaV			
伛	VFi6			
伛	Fi6	旧拼写	-	-
伢	Vya			
佤	Vwa			
仵	wAV			
伥	BiTV			
伧	VDuT			
伉	VkT			
伫	VHA			
囟	mDu3			
囟	Du3H	旧拼写	-	-
汆	7iVL			
汆	7iVV	旧拼写	-	-
刖	lyue			
夙	liYn			
旮	Hgia			
旮	oga	旧拼写	-	-
刎	lw8			
犷	vciT			
犸	vma			
舛	su8H			
凫	nnuL			
邬	1wA			
饧	tiTL			
汕	Es2			
汔	Ehu6			
汐	E5ia			
汲	ENa			
汜	E4uV			
汊	DaE			
忖	Du8Y			
忏	Yq2			
讴	46i			
讵	i5V			
祁	HuT1			
祁	qV1	旧拼写	-	-
讷	nai			
聿	ciY			
艮	g8			
厾	di6l			
阱	1N8			
阮	ru21			
阪	b21			
丞	Bi3			
妁	AsuL			
牟	m6			
纡	ayA			
纣	zu6a			
纥	gea			
纨	w2a			
玕	3gi2			
玙	37a			
抟	8zu2			
抔	8bA			
圻	N6d			
坂	b2d			
坍	dte			
坞	dwA			
抃	bi28			
抉	jue8			
㧐	s38			
芫	yyuo			
邯	h11			
芸	yyu8			
芾	huVy			
苈	yvi6			
苣	y5V			
芷	yHu6			
芮	yrV			
苋	yjV			
芼	ymL			
苌	BiTy			
苁	yD3			
芩	qu3y			
芪	H6y			
芡	yqo			
芟	y5T			
苄	bi2y			
苎	yHA			
苡	yNiT			
杌	wiYc			
杓	csuL			
杞	qEc			
杈	Dac			
忑	Fxa			
孛	bo			
邴	bi81			
邳	1pE			
矶	sjE			
奁	fFi6			
豕	rLH			
忒	F7e			
欤	r7a			
轫	qr8			
迓	zya			
邶	1biV			
忐	FrT			
卣	j6T			
邺	1p6			
旰	hi2b			
呋	o4ia			
呒	ow6			
呓	o4E			
呔	otiY			
呖	ovi6			
呃	o4e			
旸	yTb			
吡	obE			
吡	pEo	旧拼写	-	-
町	ti84			
町	4di8	dīng 用于“畹町”（地名），旧拼写	-	-
虬	zak			
呗	bVo			
吽	onu6			
吣	o53			
吲	n3o			
帏	pwiV			
岐	Niaw			
岈	wya			
岘	wjV			
岑	4i3H			
岚	wf3			
岚	bs2	旧拼写	-	-
兕	tAe			
囵	mv8			
囫	hAm			
钊	NdL			
钋	NpiA			
钌	NliL			
迕	wAz			
氙	xuo6			
氚	6giV			
牤	mTg			
佞	Ar82			
邱	q61			
攸	y6H			
佚	5YV			
佝	Vgi6			
佝	Vk6	旧拼写	-	-
佟	Vdi3			
佗	tioi			
伽	Vja			
彷	zfT			
彷	VVfT	旧拼写	-	-
佘	se			
佥	quYH			
孚	4iT			
豸	vzE			
豸	vzEH	旧拼写	-	-
坌	p2d			
肟	wiae			
邸	1diT			
奂	fY			
劬	Fol			
狄	d1H			
狄	d1h	旧拼写	-	-
狁	vv3			
鸠	nju6			
邹	z61			
饨	L78			
饩	LN6			
饪	Lru8			
饫	yuLL			
饬	lhuT			
饬	suTL	旧拼写	-	-
亨	h8			
庑	5w6			
庋	5Hua			
疔	tdi8			
疖	tjo			
肓	mTe			
闱	mwiVH			
闳	mh3			
闵	mwi8			
羌	quT			
炀	yTx			
沣	h6E			
沅	Eyuo			
沔	Emie			
沤	46E			
沌	Fi8E			
沏	Eqe			
沚	EHu6			
汩	BoE			
汨	ErE			
沂	N6E			
汾	Ef8			
沨	Ef3			
汴	bi2E			
汶	Ewi8			
沆	hTE			
沩	EwE			
泐	Ele1			
怃	Yw6			
怄	46Y			
忡	Du3Y			
忤	wAY			
忾	YN6			
怅	BiTY			
忻	ki8Y			
忪	s3Y			
怆	YDuT			
忭	bi2Y			
忸	n6Y			
诂	igA			
诃	hiei			
诅	ciai			
诋	idiT			
诌	z6i			
诏	izL			
诒	NiTi			
孜	rHL			
陇	1l3			
陀	tio1			
陂	pio1	pō 只用于“陂陀”	~陀	
陂	piL1	pí 用于“黄陂”（地名）	黄~	
陂	1bio	bēi 池塘；水岸；山坡		
陉	j81			
妍	AkY			
妩	Aw6			
妪	AFi6			
妣	AbE			
妊	Aru8			
妗	N3A			
妫	AwE			
妞	n6A			
姒	ANiT			
妤	A7L			
邵	sL1			
劭	sLl			
刭	j8lH			
甬	yu3			
邰	1tY			
纭	ayu8			
纰	pEa			
纴	aru8			
纶	Av8			
纾	sAa			
纾	a7L	旧拼写	-	-
玮	3wiV			
玡	3ya			
玭	pE3H			
玭	pE3	旧拼写	-	-
玠	3je			
玢	p23	bīn		
玢	3f8	fēn 用于“赛璐玢”	赛璐~	
玥	3yue			
玦	jue3			
盂	4yA			
忝	Fti2			
匦	giVm			
坩	dg2			
抨	8pi8			
拤	ka8			
坫	diVd			
拈	n28			
垆	dva			
抻	8s8			
劼	jel			
拃	8za			
拊	84i3			
坼	dto			
坼	dtio	旧拼写	-	-
坻	ddiT			
㧟	84V			
坨	tiod			
坭	dnE			
抿	8mi8			
坳	d76			
耶	yeH			
苷	yg2			
苯	yb8			
苤	ypE			
