巴	ba
葡	pAly
埔	pAd
脯	pAe
浦	pAE
蒲	pAEy
簠	pA'42
牌	pY
簲	epY
簰	2pY
輫	pYq
猅	pYv
棑	pYc
裴	pYu
排	pY8
徘	pYz
俳	pYV
暴	pL
曝	bpL
爆	xpL
嚗	opL
瀑	EpL
儤	VpL
皰	pLj
爮	pL8
炮	pLx
炰	pLx
跑	pLD
砲	pLs
刨	pLl
垉	pLd
疱	pLt
庖	pL5
狍	pLv
袍	pLu
咆	pLo
泡	pLE
萢	pLy
匏	pL2
业	p6
業	p6
嶫	wp6
邺	1p6
鄴	1p6
𩼋	Bp6
匕	p6H
龀	p6j
齔	p6j
牝	p6g
庀	p65
番	p2
皤	bp2
嶓	wp2
蹯	Dp2
磻	sp2
𬸪	np2
蟠	kp2
膰	ep2
潘	Ep2
籓	2p2
播	8p2
僠	Vp2
鄱	1p2
贫	p2x
貧	p2x
砏	p2s
颁	p2r
頒	p2r
攽	p2rH
坌	p2d
椕	p2c
盼	p2T
扮	p28
掰	p28H
玢	p23
邠	p21
訜	p2i
旁	pT
蒡	ypT
磅	spT
螃	kpT
耪	7pT
鳑	BpT
嗙	opT
乓	opTH
膀	epT
滂	EpT
嫎	ApT
徬	zpT
崥	pTw
埤	pTd
啤	pTo
脾	pTe
睥	pTT
郫	pT1
彭	p8
甏	7p8
嘭	op8
膨	ep8
澎	Ep8
蟛	kp8
盆	p8H
葐	p8y
湓	p8E
朋	p3
鹏	np3
鵬	np3
硼	sp3
磞	swp3
棚	cp3
倗	Vp3
淜	Ep3
蒯	ylp3
贲	p3H
賁	p3H
喷	p3o
噴	p3o
𣸣	p3E
濆	p3E
偾	p3V
豮	p3v
歕	p3r
鲼	p3B
鱝	p3B
佩	VpV
姵	ApV
珮	3pV
沛	pVE
伂	pVV
霈	pVE6
旆	pVf
甹	p1
骋	gp1
騁	gp1
涄	Ep1
娉	Ap1
聘	Tp1
俜	Vp1
梬	cp1
驳	p1H
駁	p1H
否	pia
痞	tpia
𠳝	opia
妚	Apia
帕	piap
袙	piau
啪	piao
怕	piaY
苩	piay
发	pio
發	pio
废	5pio
廃	5pio
廢	5pio
泼	Epio
溌	Epio
潑	Epio
拨	8pio
𫝼	8pio
撥	8pio
袯	upio
襏	upio
酦	4pio
醗	4pio
醱	4pio
䥽	Npio
鏺	Npio
岥	piow
蔢	pioy
破	pios
颇	pior
頗	pior
坡	piod
婆	pioA
陂	pio1
片	pie
魸	Bpie
沜	Epie
丿	pieH
潎	pieE
嫳	pieA
氕	pie6
瞥	pieT
撇	pie8
撆	pie8H
鐅	pieN
𬭯	pieNH
䥕	pieNH
卜	piA
钋	NpiA
釙	NpiA
攴	8piAH
朴	cpiA
扑	8piA
仆	VpiA
菐	piAH
噗	piAo
濮	piAE
僕	piAV
樸	piAc
璞	piA3
撲	piA8
幞	piAp
墣	piAd
蹼	piAD
穙	piAh
醭	piA4
镤	piAN
鏷	piAN
派	piY
蒎	ypiY
鎃	NpiY
哌	opiY
脉	epiY
脈	epiY
衇	jpiY
霡	6piY
霢	6piY
觅	TpiY
覓	TpiY
迫	piYz
廹	piYzH
拍	piY8
鲌	piYB
皛	piY3
藠	piY3y
票	piL
缥	apiL
縹	apiL
彯	apiLH
嘌	opiL
漂	EpiL
嫖	ApiL
慓	YpiL
僄	VpiL
瓢	2piL
篻	2piLH
瞟	TpiL
飘	bpiL
飄	bpiL
剽	lpiL
勡	lpiLH
徱	zpiL
蔈	ypiL
薸	EypiL
翲	npiL
骠	gpiL
驃	gpiL
螵	kpiL
鳔	BpiL
鰾	BpiL
皮	piLH
铍	piLN
鈹	piLN
疲	piLt
披	piL8
陂	piL1
诐	piLi
詖	piLi
被	piLu
帔	piLp
鞁	piLx
鲏	piLB
樊	pi6
燓	xpi6
礬	spi6
攀	8pi6
襻	upi6
𣬉	pi6H
蓖	pi6y
貔	pi6v
媲	pi6A
嫓	pi6A
篦	pi62
扁	pi2
蹁	Dpi2
翩	npi2
骗	gpi2
騙	gpi2
犏	gpi2H
𡎚	dpi2
楄	cpi2
媥	Api2
篇	2pi2
偏	Vpi2
谝	ipi2
